Neuron,R2,RMSE,SSE,ARE,HYBRID,MPSD,MAE,SSE_norm,ARE_norm,HYBRID_norm,MPSD_norm,MAE_norm,RMSE_norm,TOTAL_SCORE
30,0.9507439134223206,2.3233179646122064,86.36490183503689,5.910989215994055,20.139988471860967,7.951066275780256,1.965246100425721,0.018260596271185373,0.0833265047439364,0.018901188083674077,0.07909702240321423,0.07442459865395847,0.07384208009269486,0.3478519902486634
31,0.9704634440034428,1.7991137629439953,51.78896531223204,4.262684193894264,11.361307725977293,5.836756219595009,1.4581483793258665,0.006630689893709813,0.026390425750517307,0.005965719550793398,0.028261549342513403,0.02463159341481662,0.03118500855340732,0.12306498650575787
32,0.9716441659048314,1.7627872957052109,49.71870479839505,4.398398425207893,11.034003228929384,5.713260352776376,1.5194722604751585,0.005934340398244132,0.03107829364572057,0.005483433300183498,0.025292273009365953,0.030653115910970634,0.02822894542601713,0.12667040169050192
33,0.969766709809028,1.8202096180622485,53.01060885898106,4.714823451687419,13.339045539172831,6.56202734138876,1.5657735753059383,0.007041599951517432,0.04200830966920042,0.008879934794453443,0.045699625875229924,0.03519954062561493,0.032901681937744946,0.1717306928537611
34,0.9406525391703404,2.5502324632044657,104.05896986211066,7.11175379874313,28.83673571271528,11.050149848302212,2.17344084262848,0.02421214452370566,0.12480355311742741,0.03171592682733297,0.15360992508885374,0.0948676837989269,0.09230722777550204,0.5215164611317487
35,0.9817063627242838,1.4158874437697124,32.07579605479569,3.4986788027791302,7.312660611049098,4.661323507345004,1.2072973847389217,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.9706565630973204,1.7932225377339852,51.450353117393824,4.320776522796838,11.331342303205828,5.789318500507681,1.4904561233520504,0.006516794840667864,0.028397062497334417,0.0059215652188891995,0.027120979214839726,0.027803959608992145,0.03070561061184616,0.1264659719925695
37,0.9420047762829252,2.5210114176329625,101.68797708537215,5.904046044167025,23.245655237880577,8.23015870253913,2.0719353127479563,0.023414641208156922,0.08308667232559849,0.02347741723340107,0.08580738898376426,0.08490063963595867,0.08992936772129108,0.3906161271081705
38,0.974065835604203,1.6858340770304945,45.47258456443615,4.249486888891085,10.690610266894748,5.706070562740083,1.4664467167854305,0.004506122228191778,0.02593456182358221,0.0049774405453046336,0.025119405091232175,0.02544642484356775,0.021966883916896496,0.10795083844877505
39,0.9694046831043106,1.83107518258386,53.64538118839224,4.195255163311263,11.881496863336414,5.825312574363965,1.4680615258216854,0.007255110950914225,0.024061278802440467,0.006732223130572221,0.02798640373784812,0.025604986382018483,0.03378586631024353,0.12542586931403704
40,0.9678297080551992,1.877613501986864,56.40691940549398,4.75301116380225,13.387099206526546,6.412215417373644,1.6168906879425045,0.00818397750241114,0.043327397195111216,0.008950742324643553,0.04209761868372889,0.04021883878337798,0.037572918023630324,0.1803514925129031
